,link,name,website
394,https://coinmarketcap.com/currencies/feathercoin/,Feathercoin,
395,https://coinmarketcap.com/currencies/nimiq/,Nimiq,
396,https://coinmarketcap.com/currencies/yoyow/,YOYOW,https://yoyow.org/
397,https://coinmarketcap.com/currencies/wepower/,WePower,
398,https://coinmarketcap.com/currencies/loopring-neo/,Loopring [NEO],https://loopring.org/
399,https://coinmarketcap.com/currencies/aencoin/,Aencoin,https://www.aencoin.com/
400,https://coinmarketcap.com/currencies/sdchain/,SDChain,
401,https://coinmarketcap.com/currencies/legolas-exchange/,LGO Exchange,
402,https://coinmarketcap.com/currencies/etherparty/,Etherparty,
403,https://coinmarketcap.com/currencies/internet-node-token/,Internet Node...,
404,https://coinmarketcap.com/currencies/bit-tube/,BitTube,
405,https://coinmarketcap.com/currencies/hydrogen/,Hydro,
406,https://coinmarketcap.com/currencies/paypie/,PayPie,
407,https://coinmarketcap.com/currencies/melon/,Melon,
408,https://coinmarketcap.com/currencies/namecoin/,Namecoin,
